URL,CMS_Type
igr.assam.gov.in,Drupal
labourcommissioner.assam.gov.in,Drupal
legislative.assam.gov.in,Drupal
nalbari.assam.gov.in,Drupal
madhyamik.assam.gov.in,Drupal
nagaon.assam.gov.in,Drupal
kamrupmetro.assam.gov.in,Drupal
nhm.assam.gov.in,Drupal
sonitpur.assam.gov.in,Drupal
parliamentaryaffairs.assam.gov.in,Drupal
police.assam.gov.in,Drupal
snt.assam.gov.in,Drupal
hojai.assam.gov.in,Drupal
sports.assam.gov.in,Drupal
waterresources.assam.gov.in,Drupal
aurangabad.gov.in,WP
balod.gov.in,WP
bageshwar.gov.in,WP
balodabazar.gov.in,WP
balrampur.gov.in,WP
bastar.gov.in,WP
bankura.gov.in,WP
www.barnala.gov.in,WP
barnala.gov.in,WP
beed.gov.in,WP
bemetara.gov.in,WP
bhandara.gov.in,WP
bhiwani.gov.in,WP
bijapur.gov.in,WP
birbhum.gov.in,WP
biswanath.gov.in,Drupal
bilaspur.gov.in,WP
bitm.gov.in,WP
www.bitm.gov.in,WP
beeindia.gov.in,Drupal
bongaigaon.gov.in,Drupal
bncmc.gov.in,WP
brahmaputraboard.gov.in,WP
www.brahmaputraboard.gov.in,WP
cachar.gov.in,Drupal
cachar.dcourts.gov.in,WP
www.cadc.gov.in,WP
iced.cag.gov.in,WP
cantt.gov.in,WP
cannanore.cantt.gov.in,WP
dehuroad.cantt.gov.in,WP
jabalpur.cantt.gov.in,WP
deolali.cantt.gov.in,WP
ferozepur.cantt.gov.in,WP
jutogh.cantt.gov.in,WP
kamptee.cantt.gov.in,WP
meerut.cantt.gov.in,WP
saugor.cantt.gov.in,WP
cbc.gov.in,Drupal
ranikhet.cantt.gov.in,WP
secunderabad.cantt.gov.in,WP
shillong.cantt.gov.in,WP
www.cbcindia.gov.in,WP
cbcindia.gov.in,WP
www.cca.gov.in,Drupal
cca.gov.in,Drupal
ccsniam.gov.in,Joomla
www.ccsniam.gov.in,Joomla
ceib.gov.in,Drupal
ceikerala.gov.in,Joomla
centralwaqfcouncil.gov.in,Drupal
cexchd1.gov.in,Drupal
spc.cg.gov.in,Drupal
ccrtindia.gov.in,WP
cgca.gov.in,Drupal
www.cgca.gov.in,Drupal
tribal.cg.gov.in,Drupal
phed.cg.gov.in,Drupal
iccr.gov.in,Drupal
www.cghb.gov.in,Drupal
cghb.gov.in,Drupal
spandan.cgpolice.gov.in,Drupal
www.cgisydney.gov.in,WP
indiainseattle.gov.in,WP
cgstamdnorth.gov.in,WP
www.cgstamdnorth.gov.in,WP
cgpolicehelp.cgstate.gov.in,Drupal
cgstrajkotappeals.gov.in,WP
champawat.gov.in,WP
www.chandigarh.gov.in,Drupal
charkhidadri.gov.in,WP
ctuonline.chd.gov.in,WP
reeut.chd.gov.in,Drupal
chdca.gov.in,WP
chandigarhforest.gov.in,WP
www.chandigarhforest.gov.in,WP
chdctu.gov.in,Drupal
www.chdctu.gov.in,Drupal
www.chdeducation.gov.in,WP
chdfood.gov.in,Drupal
www.chdfood.gov.in,Drupal
chandigarhenvis.gov.in,Drupal
chemicals.gov.in,Drupal
chb.gov.in,WP
chennaicustoms.gov.in,WP
www.chennaicustoms.gov.in,WP
ecitizen.civilsupplieskerala.gov.in,Other CMS
ecsc.civilsupplieskerala.gov.in,Other CMS
clinicalestablishments.gov.in,Other CMS
www.clinicalestablishments.gov.in,Other CMS
www.clc.gov.in,Drupal
clc.gov.in,Drupal
cmlre.gov.in,Drupal
www.cmlre.gov.in,Drupal
cmrfodisha.gov.in,Drupal
www.cmrfodisha.gov.in,Drupal
www.cmmanipur.gov.in,WP
cmmanipur.gov.in,WP
coal.gov.in,Drupal
cmss.gov.in,WP
www.cmss.gov.in,WP
cochinport.gov.in,Drupal
www.cochinport.gov.in,Drupal
coirboard.gov.in,WP
coirservices.gov.in,WP
www.coirservices.gov.in,WP
crridom.gov.in,Drupal
www.crridom.gov.in,Drupal
csb.gov.in,WP
www.csb.gov.in,WP
gpf.csb.gov.in,WP
silks.csb.gov.in,WP
crs.gov.in,WP
dbtagriculture.bihar.gov.in,WP
cwc.gov.in,Drupal
www.cwc.gov.in,Drupal
mcdonline.nic.in,WP
vci.dahd.gov.in,Drupal
www.dae.gov.in,WP
darjeeling.gov.in,WP
community.data.gov.in,WP
event.data.gov.in,WP
www.dbtctep.gov.in,WP
dbtindia.gov.in,Drupal
visualize.data.gov.in,WP
ab.dcmsme.gov.in,Other CMS
clcss.dcmsme.gov.in,Other CMS
cluster.dcmsme.gov.in,Other CMS
www.dcmsme.gov.in,Drupal
dbtjrf.gov.in,WP
www.dbtjrf.gov.in,WP
www.ppdcagra.dcmsme.gov.in,Other CMS
ppdcagra.dcmsme.gov.in,Other CMS
msmedi.dcmsme.gov.in,Other CMS
tc.dcmsme.gov.in,Other CMS
dhemaji.dcourts.gov.in,WP
bhiwani.dcourts.gov.in,WP
bilaspurhp.dcourts.gov.in,WP
dhubri.dcourts.gov.in,WP
faridabad.dcourts.gov.in,WP
golaghat.dcourts.gov.in,WP
gurugram.dcourts.gov.in,WP
hisar.dcourts.gov.in,WP
kamrupmetro.dcourts.gov.in,WP
hailakandi.dcourts.gov.in,WP
lakhimpur.dcourts.gov.in,WP
sivasagar.dcourts.gov.in,WP
namchi.dcourts.gov.in,WP
morigaon.dcourts.gov.in,WP
sonitpur.dcourts.gov.in,WP
palwal.dcourts.gov.in,WP
pasighat.dcourts.gov.in,WP
sirmaur.dcourts.gov.in,WP
sonepat.dcourts.gov.in,WP
wayanad.dcourts.gov.in,WP
surat.dcourts.gov.in,WP
ddd.gov.in,WP
police.ddd.gov.in,WP
dda.gov.in,Drupal
www.dda.gov.in,Drupal
ddinews.gov.in,WP
ddnews.gov.in,WP
ddkbbsr.gov.in,Drupal
www.ddkbbsr.gov.in,Drupal
www.ddinews.gov.in,WP
www.ddnews.gov.in,WP
www.ddpmod.gov.in,Drupal
ddpmod.gov.in,Drupal
ddpdos.gov.in,Drupal
dehradun.nic.in,WP
dehradun.gov.in,WP
swachhbharatmission.ddws.gov.in,Drupal
dmnorth.delhi.gov.in,WP
dmshahdara.delhi.gov.in,WP
dmnorthwest.delhi.gov.in,WP
dmeast.delhi.gov.in,WP
dmsouth.delhi.gov.in,WP
dmnewdelhi.delhi.gov.in,WP
dmnortheast.delhi.gov.in,WP
dmsouthwest.delhi.gov.in,WP
dmsoutheast.delhi.gov.in,WP
rera.delhi.gov.in,Drupal
www.rera.delhi.gov.in,Drupal
traffic.delhipolice.gov.in,Drupal
depwd.gov.in,WP
derc.gov.in,Drupal
www.derc.gov.in,Drupal
desw.gov.in,Drupal
www.desw.gov.in,Drupal
igmri.dfpd.gov.in,Drupal
www.dgde.gov.in,Drupal
dgde.gov.in,Drupal
desagri.gov.in,WP
nstidehradun.dgt.gov.in,Drupal
dgt.gov.in,Drupal
nstihyderabad2.dgt.gov.in,Drupal
nstijamshedpur.dgt.gov.in,Drupal
nstihaldwani.dgt.gov.in,Drupal
nstiludhiana.dgt.gov.in,Drupal
nstiwbengaluru.dgt.gov.in,Drupal
nstiwgoa.dgt.gov.in,Drupal
nstiwjaipur.dgt.gov.in,Drupal
nstiwnoida.dgt.gov.in,Drupal
nstiwpatna.dgt.gov.in,Drupal
nstiwmumbai.dgt.gov.in,Drupal
nstiwtrivandrum.dgt.gov.in,Drupal
nstiwtura.dgt.gov.in,Drupal
rdsdebihar.dgt.gov.in,Drupal
rdsdeandhrapradesh.dgt.gov.in,Drupal
rdsdeassam.dgt.gov.in,Drupal
rdsdegujarat.dgt.gov.in,Drupal
rdsdejharkhand.dgt.gov.in,Drupal
rdsdekarnataka.dgt.gov.in,Drupal
rdsdemadhyapradesh.dgt.gov.in,Drupal
rdsdemaharashtra.dgt.gov.in,Drupal
rdsdetamilnadu.dgt.gov.in,Drupal
rdsdetelangana.dgt.gov.in,Drupal
rdsdeuttarpradesh.dgt.gov.in,Drupal
rdsdewestbengal.dgt.gov.in,Drupal
dgtr.gov.in,Drupal
www.dgtr.gov.in,Drupal
dhemaji.gov.in,Drupal
dhamtari.gov.in,WP
dgtelecom.gov.in,WP
dhubri.gov.in,Drupal
dhubri.assam.gov.in,Drupal
dhepune.gov.in,WP
digibunai.dic.gov.in,Joomla
www.dhepune.gov.in,WP
dhule.gov.in,WP
m4agri.dic.gov.in,Joomla
dietresubelpara.gov.in,Drupal
dietnongstoin.gov.in,Drupal
dietthadlaskein.gov.in,Drupal
diksha.gov.in,Other CMS
vdn.diksha.gov.in,Other CMS
www.diksha.gov.in,Other CMS
www.digitalpolicecitizenservices.gov.in,Other CMS
disabilityaffairs.gov.in,WP
diu.gov.in,WP
www.diu.gov.in,WP
dla.gov.in,Drupal
www.dla.gov.in,Drupal
dmeo.gov.in,Drupal
dnh.gov.in,WP
doe.gov.in,Drupal
www.doe.gov.in,Drupal
dof.gov.in,WP
doj.gov.in,WP
pda.dnh.gov.in,Drupal
dashboard.doj.gov.in,WP
dolr.gov.in,WP
prasarbharati.gov.in,WP
doordarshan.gov.in,WP
www.dpl.gov.in,Joomla
dpl.gov.in,Joomla
www.dsir.gov.in,Drupal
dsndharyana.gov.in,WP
www.dst.gov.in,Drupal
durg.gov.in,WP
amravati.dvet.gov.in,WP
aurangabad.dvet.gov.in,WP
www.dvet.gov.in,WP
dtetodisha.gov.in,WP
mumbai.dvet.gov.in,WP
nagpur.dvet.gov.in,WP
nashik.dvet.gov.in,WP
pune.dvet.gov.in,WP
eastkhasihills.gov.in,WP
eastgarohills.gov.in,WP
eastjaintiahills.gov.in,WP
ecommitteesci.gov.in,WP
www.edantseva.gov.in,Drupal
chd.education.gov.in,Drupal
www.chd.education.gov.in,Drupal
dsel.education.gov.in,Drupal
cstt.education.gov.in,Drupal
www.cstt.education.gov.in,Drupal
boatwr.education.gov.in,WP
repository.education.gov.in,WP
www.egovstandards.gov.in,Drupal
egovstandards.gov.in,Drupal
embassyofindiayangon.gov.in,WP
www.embassyofindiayangon.gov.in,WP
enforcementdirectorate.gov.in,Drupal
www.enforcementdirectorate.gov.in,Drupal
eoiaddisababa.gov.in,WP
www.eprocure.gov.in,Drupal
ernakulam.gov.in,WP
ernakulam.nic.in,WP
esaharyana.gov.in,WP
erpc.gov.in,WP
fatehgarhsahib.gov.in,WP
fazilka.gov.in,WP
fibkerala.gov.in,Drupal
www.fibkerala.gov.in,Drupal
finhry.gov.in,WP
hpsn.finhry.gov.in,WP
www.finhry.gov.in,WP
fitindia.gov.in,WP
www.fitindia.gov.in,WP
gadchiroli.gov.in,WP
nflgaziabad.fssai.gov.in,WP
www.gandhismriti.gov.in,Drupal
gandhismriti.gov.in,Drupal
gbpihed.gov.in,Drupal
www.gbpihed.gov.in,Drupal
www.gcelt.gov.in,WP
gcelt.gov.in,WP
giso.gov.in,Drupal
www.gmada.gov.in,Drupal
www.gmch.gov.in,Drupal
gmch.gov.in,Drupal
cares.goa.gov.in,WP
dfes.goa.gov.in,Drupal
dsya.goa.gov.in,WP
www.dsya.goa.gov.in,WP
geda.goa.gov.in,WP
ghrdc.goa.gov.in,WP
ghb.goa.gov.in,WP
gssc.goa.gov.in,WP
infotech.goa.gov.in,WP
goawrd.gov.in,Drupal
gondia.gov.in,WP
governoruk.gov.in,WP
greentribunal.gov.in,Drupal
grihkalyankendra.gov.in,Drupal
greene.gov.in,WP
www.grihkalyankendra.gov.in,Drupal
gstauditjk.gov.in,Drupal
gstcouncil.gov.in,Drupal
www.gstcouncil.gov.in,Drupal
gurugram.gov.in,WP
www.gstnoida.gov.in,WP
hafed.gov.in,Drupal
haraviation.gov.in,WP
hareda.gov.in,WP
harenvironment.gov.in,WP
hrccc.harenvironment.gov.in,WP
harfish.gov.in,Drupal
hargauseva.gov.in,WP
harprathmik.gov.in,WP
hartrans.gov.in,WP
acb.haryana.gov.in,WP
www.haryana.gov.in,WP
ayushmanbharat.haryana.gov.in,WP
commhsr.haryana.gov.in,WP
envis.haryana.gov.in,WP
gramdarshan.haryana.gov.in,WP
msme.haryana.gov.in,WP
sfc.haryana.gov.in,WP
sewa.haryana.gov.in,WP
sjeti.haryana.gov.in,WP
swa.haryana.gov.in,WP
haryanaarchives.gov.in,WP
haryanafood.gov.in,WP
haryanaforest.gov.in,WP
campa.haryanaforest.gov.in,WP
sbb.haryanaforest.gov.in,WP
haryanaassembly.gov.in,WP
haryanahealth.gov.in,WP
haryanait.gov.in,WP
haryanarajbhavan.gov.in,WP
haryanarural.gov.in,WP
haryanascbc.gov.in,Drupal
www.haryanascbc.gov.in,Drupal
haryanasports.gov.in,WP
haryanavigilance.gov.in,WP
haryanatransport.gov.in,Drupal
www.haryanatransport.gov.in,Drupal
hbh.gov.in,Other CMS
hcigeorgetown.gov.in,WP
www.hcigeorgetown.gov.in,WP
hcs.gov.in,Drupal
old.hda.gov.in,WP
hfdc.gov.in,WP
highereducationmanipur.gov.in,WP
himachaldit.gov.in,WP
ddtg.hp.gov.in,WP
himachaltourism.gov.in,WP
hisar.gov.in,WP
hingoli.nic.in,WP
www.hmda.gov.in,WP
hooghly.nic.in,WP
hooghly.gov.in,WP
howrah.gov.in,WP
dest.hp.gov.in,Drupal
ei.hp.gov.in,Other CMS
eudyan.hp.gov.in,Other CMS
himurja.hp.gov.in,WP
techedu.hp.gov.in,Drupal
online2.hpsssb.hp.gov.in,WP
hpmc.gov.in,Other CMS
hpmandi.nic.in,WP
hpmandi.gov.in,WP
hpsirmaur.gov.in,WP
hpshimla.gov.in,WP
hpshimla.nic.in,WP
www.hptax.gov.in,WP
hptax.gov.in,WP
hrtreasuries.gov.in,WP
hryesi.gov.in,WP
hslsa.gov.in,WP
hwb.gov.in,Drupal
www.hwb.gov.in,Drupal
aeis.icar.gov.in,WP
www.icar.gov.in,Drupal
krishi.icar.gov.in,WP
aicrponforagecrops.icar.gov.in,Joomla
aicrpspices.icar.gov.in,Drupal
hydrobharat.gov.in,WP
cashewprotect.icar.gov.in,WP
ccri.icar.gov.in,Other CMS
cafri.icar.gov.in,WP
dmapr.icar.gov.in,Drupal
dogr.icar.gov.in,Joomla
education.icar.gov.in,WP
iasri.icar.gov.in,WP
dkma.icar.gov.in,WP
ciphet.icar.gov.in,WP
iimr.icar.gov.in,WP
icarrcer.icar.gov.in,WP
igfri.icar.gov.in,WP
iior.icar.gov.in,Drupal
iivr.icar.gov.in,Drupal
calicut.kvk.icar.gov.in,Joomla
iiab.icar.gov.in,WP
kvkalappuzha.icar.gov.in,WP
kvkernakulam.icar.gov.in,WP
nahep2.icar.gov.in,WP
nahep.icar.gov.in,WP
niasm.icar.gov.in,Drupal
nibsm.icar.gov.in,Joomla
nbsslup.icar.gov.in,WP
nbagr.icar.gov.in,WP
nrcmithun.icar.gov.in,Drupal
sugarcane.icar.gov.in,WP
qms.icar.gov.in,Drupal
testicar.icar.gov.in,Drupal
spices.icar.gov.in,Drupal
ifp.icfre.gov.in,WP
idukki.nic.in,WP
www.ies.gov.in,WP
ies.gov.in,WP
iilm.gov.in,Drupal
iimc.gov.in,Drupal
www.iimc.gov.in,Drupal
igrms.gov.in,Drupal
ikm.gov.in,Drupal
ilearn.gov.in,WP
www.ilearn.gov.in,WP
incometaxnortheast.gov.in,WP
indbiz.gov.in,WP
indembassyseoul.gov.in,Drupal
www.indembassyseoul.gov.in,Drupal
www.indembassyuae.gov.in,WP
indembassyuae.gov.in,WP
covid19.india.gov.in,WP
guidelines.india.gov.in,WP
vahan.parivahan.gov.in,Drupal
www.tn.gov.in,Drupal
yas.nic.in,Drupal
cms.tn.gov.in,Drupal
ncw.nic.in,Drupal
cea.nic.in,WP
pds.jharkhand.gov.in,Joomla
raipur.gov.in,WP
meacms.mea.gov.in,Other CMS
nss.gov.in,Drupal
meghalaya.gov.in,Drupal
nclt.gov.in,Drupal
cpao.nic.in,WP
www.daman.nic.in,WP
vikarabad.telangana.gov.in,WP
wdsc.telangana.gov.in,Other CMS
warangal.telangana.gov.in,WP
jagtial.telangana.gov.in,WP
aquaptax.mcgm.gov.in,Other CMS
bijnor.nic.in,WP
dor.gov.in,Drupal
aizawl.nic.in,WP
indiaculture.gov.in,Drupal
www.indiaculture.gov.in,Drupal
www.indiainseattle.gov.in,WP
icms.indianrail.gov.in,Other CMS
cms.indianrail.gov.in,WP
www.indiascienceandtechnology.gov.in,Drupal
indiascienceandtechnology.gov.in,Drupal
interstatecouncil.gov.in,WP
www.ipc.gov.in,Joomla
www.ipft.gov.in,Other CMS
ipft.gov.in,Other CMS
cms.irsofficersonline.gov.in,Other CMS
irix.gov.in,WP
itiharyana.gov.in,Drupal
itpolicyup.gov.in,WP
jalgaon.gov.in,WP
www.iwai.gov.in,Drupal
iwai.gov.in,Drupal
jalna.gov.in,WP
jalshakti.gov.in,Drupal
jalpaiguri.gov.in,WP
jaljeevanmission.gov.in,Drupal
jammu.gov.in,WP
jashpur.gov.in,WP
jhargram.gov.in,WP
www.jhargram.gov.in,WP
jind.gov.in,WP
rcms.jk.gov.in,Drupal
jkpoliceeservices.gov.in,Other CMS
kaithal.gov.in,WP
kalimpong.gov.in,WP
kanker.gov.in,WP
kannur.gov.in,WP
kannur.nic.in,WP
kapurthala.gov.in,WP
karaikal.gov.in,WP
karbianglong.gov.in,Drupal
karnal.gov.in,WP
arogya.karnataka.gov.in,Joomla
www.arogya.karnataka.gov.in,Joomla
bwsajala.karnataka.gov.in,WP
csg.karnataka.gov.in,WP
eofficecitizen.karnataka.gov.in,Other CMS
ccms.karnataka.gov.in,Other CMS
kasargod.nic.in,WP
kasargod.gov.in,WP
kasez.gov.in,WP
bcdd.kerala.gov.in,WP
ceds.kerala.gov.in,Joomla
casmvk.kerala.gov.in,WP
www.clr.kerala.gov.in,Joomla
clr.kerala.gov.in,Joomla
cmd.kerala.gov.in,WP
www.cmopcmg.kerala.gov.in,Other CMS
coir.kerala.gov.in,WP
collegiateedu.kerala.gov.in,WP
cooperation.kerala.gov.in,WP
consumeraffairs.kerala.gov.in,WP
www.dairydevelopment.kerala.gov.in,Joomla
dairydevelopment.kerala.gov.in,Joomla
www.dc.kerala.gov.in,WP
dc.kerala.gov.in,WP
dentalcouncil.kerala.gov.in,WP
dic.kerala.gov.in,Joomla
dmg.kerala.gov.in,WP
dslr.kerala.gov.in,WP
archive.education.kerala.gov.in,Joomla
ehealth.kerala.gov.in,Drupal
employment.kerala.gov.in,WP
eitd.kerala.gov.in,WP
